Layers,States
20,20,0.002287678
29,20,0.002408156
42,20,0.002542739
60,20,0.002780999
88,20,0.00320695
128,20,0.003806908
185,20,0.004449249
20,29,0.002331204
29,29,0.002668289
42,29,0.002601593
60,29,0.002793988
88,29,0.003186482
128,29,0.003634135
185,29,0.004493098
20,42,0.002394265
29,42,0.002530413
42,42,0.002767065
60,42,0.00292023
88,42,0.0030807
128,42,0.003635978
185,42,0.004688864
20,60,0.002360535
29,60,0.002506478
42,60,0.002677649
60,60,0.00282721
88,60,0.003148213
128,60,0.003774076
185,60,0.004550946
20,88,0.002384387
29,88,0.002584333
42,88,0.002596824
60,88,0.002855461
88,88,0.003200144
128,88,0.003867947
185,88,0.005171845
20,128,0.002368934
29,128,0.002470845
42,128,0.002485632
60,128,0.002741401
88,128,0.003119284
128,128,0.003852042
185,128,0.005244554
20,185,0.002333136
29,185,0.002414705
42,185,0.002601304
60,185,0.002889877
88,185,0.003523491
128,185,0.00448848
185,185,0.005953456
