Layers,States
20,20,0.002601916
29,20,0.002971669
42,20,0.002780977
60,20,0.003582623
88,20,0.003483223
128,20,0.004143992
185,20,0.004823352
20,29,0.002438536
29,29,0.002891997
42,29,0.002837855
60,29,0.003047991
88,29,0.003223883
128,29,0.003649595
185,29,0.004831664
20,42,0.002409935
29,42,0.002773748
42,42,0.002750766
60,42,0.003023087
88,42,0.003280022
128,42,0.003819932
185,42,0.004827428
20,60,0.002439799
29,60,0.00284949
42,60,0.002704378
60,60,0.003170234
88,60,0.003300224
128,60,0.004557336
185,60,0.004898848
20,88,0.002645802
29,88,0.002661805
42,88,0.002826464
60,88,0.002974728
88,88,0.003295666
128,88,0.003921955
185,88,0.006050571
20,128,0.002678231
29,128,0.002779625
42,128,0.002765349
60,128,0.003182018
88,128,0.003390898
128,128,0.004544794
185,128,0.005624031
20,185,0.002663112
29,185,0.002619243
42,185,0.002939656
60,185,0.00314301
88,185,0.003880365
128,185,0.004539588
185,185,0.007056324
