Layers,Controllers
20,4,0.002671734
27,4,0.002594056
39,4,0.002884217
54,4,0.002843968
76,4,0.003105613
107,4,0.003596888
150,4,0.004238154
210,4,0.005613987
295,4,0.006770685
413,4,0.008723419
578,4,0.01306609
809,4,0.01870865
20,5,0.002766492
27,5,0.002676736
39,5,0.002839983
54,5,0.002957618
76,5,0.003346381
107,5,0.004067688
150,5,0.004492625
210,5,0.005745709
295,5,0.007390332
413,5,0.009741496
578,5,0.01475813
809,5,0.0205585
20,6,0.00264725
27,6,0.002958592
39,6,0.002835208
54,6,0.003230325
76,6,0.003972899
107,6,0.004297371
150,6,0.004837982
210,6,0.00597866
295,6,0.008154798
413,6,0.01079161
578,6,0.01629999
809,6,0.02289934
20,7,0.00254481
27,7,0.00295697
39,7,0.002961389
54,7,0.003816228
76,7,0.003620026
107,7,0.004234132
150,7,0.005048971
210,7,0.006430516
295,7,0.008947744
413,7,0.01201446
578,7,0.01684247
809,7,0.02460123
20,9,0.002594377
27,9,0.002834596
39,9,0.00302793
54,9,0.003459953
76,9,0.00386796
107,9,0.004570785
150,9,0.005931035
210,9,0.007618558
295,9,0.01082173
413,9,0.01395556
578,9,0.02014255
809,9,0.0289709
20,12,0.002712583
27,12,0.003095354
39,12,0.003212327
54,12,0.003609353
76,12,0.004163957
107,12,0.00514695
150,12,0.006773646
210,12,0.008820592
295,12,0.01221766
413,12,0.01632768
578,12,0.02337393
809,12,0.03428873
20,15,0.002823577
27,15,0.00318691
39,15,0.003355552
54,15,0.003785788
76,15,0.004543962
107,15,0.005730803
150,15,0.007805362
210,15,0.009979987
295,15,0.01368212
413,15,0.01936421
578,15,0.02724122
809,15,0.039785
20,19,0.002836968
27,19,0.003219759
39,19,0.003526719
54,19,0.003909199
76,19,0.005004449
107,19,0.006403976
150,19,0.00878463
210,19,0.01135963
295,19,0.01567579
413,19,0.02366006
578,19,0.03256978
809,19,0.04851422
20,23,0.003354327
27,23,0.003421719
39,23,0.003868913
54,23,0.004504133
76,23,0.005509999
107,23,0.007436116
150,23,0.009396734
210,23,0.01273214
295,23,0.01800746
413,23,0.02521021
578,23,0.03753571
809,23,0.05422191
20,29,0.003394355
27,29,0.003633651
39,29,0.004208643
54,29,0.005705607
76,29,0.0066743
107,29,0.008235984
150,29,0.01135602
210,29,0.01501831
295,29,0.02115884
413,29,0.02950027
578,29,0.04220654
809,29,0.06340267
20,37,0.003511332
27,37,0.004106895
39,37,0.004653572
54,37,0.00563693
76,37,0.007614035
107,37,0.009880802
150,37,0.01374731
210,37,0.01826726
295,37,0.02537873
413,37,0.03885288
578,37,0.05166175
809,37,0.08258292
20,46,0.00381769
27,46,0.004404864
39,46,0.00556776
54,46,0.006738807
76,46,0.008736156
107,46,0.01259032
150,46,0.01664234
210,46,0.02406114
295,46,0.03291944
413,46,0.04427203
578,46,0.06420281
809,46,0.09436256
