Layers,Controllers
20,4,0.002768292
27,4,0.003050478
39,4,0.003099661
54,4,0.003321734
76,4,0.003838012
107,4,0.004670357
150,4,0.005685009
210,4,0.007431968
295,4,0.01094464
413,4,0.01461163
578,4,0.02121395
809,4,0.02713204
20,5,0.002883498
27,5,0.003243603
39,5,0.00342627
54,5,0.003670972
76,5,0.004232323
107,5,0.00539912
150,5,0.007275234
210,5,0.008091556
295,5,0.01109433
413,5,0.01601549
578,5,0.02180561
809,5,0.03089349
20,6,0.003009557
27,6,0.003087307
39,6,0.003309588
54,6,0.003774505
76,6,0.004366327
107,6,0.005102288
150,6,0.006655867
210,6,0.009062092
295,6,0.01234357
413,6,0.01882036
578,6,0.02483363
809,6,0.03553954
20,7,0.002997491
27,7,0.003166092
39,7,0.004090198
54,7,0.004507062
76,7,0.005416202
107,7,0.005621052
150,7,0.007094095
210,7,0.009713742
295,7,0.01320248
413,7,0.01891864
578,7,0.0278851
809,7,0.0372868
20,9,0.003709983
27,9,0.003418054
39,9,0.003752343
54,9,0.004062045
76,9,0.005055931
107,9,0.006462781
150,9,0.009096342
210,9,0.01299821
295,9,0.01656576
413,9,0.02230326
578,9,0.02914779
809,9,0.03834588
20,12,0.003333187
27,12,0.003617929
39,12,0.004179614
54,12,0.004890861
76,12,0.00604168
107,12,0.007146232
150,12,0.01048227
210,12,0.0135674
295,12,0.01854772
413,12,0.02331358
578,12,0.0319977
809,12,0.04562436
20,15,0.003537263
27,15,0.004020185
39,15,0.004774104
54,15,0.005437035
76,15,0.006669842
107,15,0.008294815
150,15,0.01141676
210,15,0.01628855
295,15,0.01975784
413,15,0.02618101
578,15,0.03528228
809,15,0.05030044
20,19,0.003569139
27,19,0.004082888
39,19,0.004873372
54,19,0.005865821
76,19,0.007054721
107,19,0.009602134
150,19,0.01278441
210,19,0.01630815
295,19,0.0223983
413,19,0.0307786
578,19,0.0427628
809,19,0.05846082
20,23,0.003884247
27,23,0.00439513
39,23,0.005279405
54,23,0.006306853
76,23,0.008276692
107,23,0.01074127
150,23,0.01352785
210,23,0.01828381
295,23,0.02522827
413,23,0.03340166
578,23,0.04631959
809,23,0.06573769
20,29,0.004265039
27,29,0.004703903
39,29,0.005599215
54,29,0.006994713
76,29,0.008983814
107,29,0.01183659
150,29,0.01557223
210,29,0.01992088
295,29,0.02778224
413,29,0.03838323
578,29,0.05277067
809,29,0.07525884
20,37,0.00458669
27,37,0.005235998
39,37,0.006460668
54,37,0.007769391
76,37,0.009877835
107,37,0.01323579
150,37,0.017358
210,37,0.02323127
295,37,0.03225648
413,37,0.04393704
578,37,0.06213279
809,37,0.08801392
20,46,0.004586857
27,46,0.005251882
39,46,0.006516841
54,46,0.008260963
76,46,0.01090854
107,46,0.01428279
150,46,0.01984048
210,46,0.02652058
295,46,0.03783217
413,46,0.05080213
578,46,0.07018659
809,46,0.1004669
