Layers,Controllers
20,4,0.002106403
27,4,0.002212159
39,4,0.002105024
54,4,0.002361509
76,4,0.002145306
107,4,0.002223195
150,4,0.002241059
210,4,0.002148006
295,4,0.002365442
413,4,0.002260024
20,5,0.002294215
27,5,0.002193286
39,5,0.002172654
54,5,0.002246875
76,5,0.002183529
107,5,0.002326308
150,5,0.002192071
210,5,0.002312038
295,5,0.002276351
413,5,0.002257864
20,6,0.002302243
27,6,0.002197103
39,6,0.002388821
54,6,0.002221592
76,6,0.002217999
107,6,0.002274098
150,6,0.002231603
210,6,0.002410314
295,6,0.002299336
413,6,0.002414436
20,7,0.002257447
27,7,0.002218683
39,7,0.002322061
54,7,0.002233174
76,7,0.002414533
107,7,0.00226323
150,7,0.002295068
210,7,0.002344662
295,7,0.002380809
413,7,0.002523996
20,9,0.00235724
27,9,0.002409498
39,9,0.002354675
54,9,0.002336601
76,9,0.002385606
107,9,0.002402856
150,9,0.00249293
210,9,0.002394094
295,9,0.002430857
413,9,0.002472486
20,12,0.002448609
27,12,0.002596405
39,12,0.002483525
54,12,0.002526394
76,12,0.002494996
107,12,0.002452574
150,12,0.002570105
210,12,0.002534743
295,12,0.002681948
413,12,0.002594739
20,15,0.002578101
27,15,0.002627012
39,15,0.002578842
54,15,0.002758961
76,15,0.002589325
107,15,0.002640454
150,15,0.002650744
210,15,0.002618092
295,15,0.002807889
413,15,0.002728844
20,19,0.002770741
27,19,0.002739302
39,19,0.002697207
54,19,0.002807725
76,19,0.002736886
107,19,0.00284115
150,19,0.002778125
210,19,0.00276146
295,19,0.002831994
413,19,0.002906951
20,23,0.003113242
27,23,0.002945272
39,23,0.00292054
54,23,0.002973239
76,23,0.002896003
107,23,0.003068768
150,23,0.002970313
210,23,0.003041986
295,23,0.003019325
413,23,0.003036998
20,29,0.00336809
27,29,0.003286692
39,29,0.00337477
54,29,0.003290445
76,29,0.003218026
107,29,0.003448707
150,29,0.00333557
210,29,0.003433378
295,29,0.003376514
413,29,0.003443329
