Vertex Count,Mesh Count
8000,2,0.002524479
12000,2,0.003017707
18000,2,0.003591973
27000,2,0.005316674
40500,2,0.008057011
60750,2,0.0120784
91125,2,0.0195614
8000,3,0.003052998
12000,3,0.003474473
18000,3,0.004511088
27000,3,0.007981839
40500,3,0.0120939
60750,3,0.02653556
91125,3,0.029287
8000,4,0.00338619
12000,4,0.004200914
18000,4,0.00571237
27000,4,0.01011019
40500,4,0.01697934
60750,4,0.02509584
91125,4,0.03911195
8000,6,0.004088544
12000,6,0.005909673
18000,6,0.007740109
27000,6,0.01633068
40500,6,0.02545645
60750,6,0.03858384
91125,6,0.05554714
8000,10,0.006051224
12000,10,0.008578458
18000,10,0.01534319
27000,10,0.02706807
40500,10,0.04201734
60750,10,0.06149827
91125,10,0.09241196
8000,15,0.007718294
12000,15,0.01161567
18000,15,0.02203454
27000,15,0.03484664
40500,15,0.05323606
60750,15,0.08257704
91125,15,0.120015
8000,22,0.008957414
12000,22,0.01553879
18000,22,0.02715798
27000,22,0.04213444
40500,22,0.06496346
60750,22,0.099589
91125,22,0.1545285
