Parent Constraints,Target Count
10,10,0.002121068
15,10,0.002137998
22,10,0.002111332
33,10,0.002338312
50,10,0.002225762
75,10,0.002520373
113,10,0.002494593
170,10,0.002636079
256,10,0.0030564
384,10,0.003775296
10,15,0.002222831
15,15,0.002162814
22,15,0.002205916
33,15,0.002223567
50,15,0.002207971
75,15,0.002526376
113,15,0.00251352
170,15,0.002937064
256,15,0.003237129
384,15,0.003970788
10,22,0.002182252
15,22,0.002170287
22,22,0.002390474
33,22,0.002210252
50,22,0.002442427
75,22,0.002453024
113,22,0.002563207
170,22,0.00302354
256,22,0.003428083
384,22,0.004544619
10,33,0.002165567
15,33,0.002225533
22,33,0.002244696
33,33,0.002236118
50,33,0.002580508
75,33,0.002531572
113,33,0.002816735
170,33,0.003101905
256,33,0.003599111
384,33,0.004867365
10,50,0.002178517
15,50,0.002398999
22,50,0.002236657
33,50,0.002287071
50,50,0.002475685
75,50,0.002557319
113,50,0.003076028
170,50,0.00323634
256,50,0.004124271
384,50,0.005208498
10,75,0.002162449
15,75,0.002351483
22,75,0.002288081
33,75,0.002485177
50,75,0.002495422
75,75,0.002693002
113,75,0.003068247
170,75,0.003531856
256,75,0.004707611
384,75,0.006027993
10,113,0.002266065
15,113,0.002259553
22,113,0.002276827
33,113,0.002547552
50,113,0.002623667
75,113,0.003066885
113,113,0.00327497
170,113,0.003906664
256,113,0.005038755
384,113,0.00696477
10,170,0.002370213
15,170,0.00230059
22,170,0.002478315
33,170,0.002566027
50,170,0.002780965
75,170,0.003253659
113,170,0.003693403
170,170,0.004792801
256,170,0.006007816
384,170,0.008244662
10,256,0.00228744
15,256,0.00233177
22,256,0.002704575
33,256,0.002680886
50,256,0.003145483
75,256,0.003474755
113,256,0.004186185
170,256,0.005515485
256,256,0.007378728
384,256,0.01079639
10,384,0.002391576
15,384,0.00244431
22,384,0.002697367
33,384,0.002946592
50,384,0.003636519
75,384,0.004042977
113,384,0.005192805
170,384,0.006816618
256,384,0.0100041
384,384,0.01347507
