ContactSenders,ContactReceivers
10,10,0.00202542
15,10,0.002246836
22,10,0.002135093
33,10,0.002123726
50,10,0.002402649
75,10,0.002411803
113,10,0.002896062
170,10,0.004136829
256,10,0.01109903
384,10,0.02525102
10,15,0.002077854
15,15,0.002069469
22,15,0.002275705
33,15,0.002244129
50,15,0.002297957
75,15,0.002687458
113,15,0.003182659
170,15,0.004965906
256,15,0.01760719
384,15,0.02549177
10,22,0.002201982
15,22,0.00214255
22,22,0.00213731
33,22,0.002428651
50,22,0.002457983
75,22,0.003170762
113,22,0.003672103
170,22,0.006754906
256,22,0.0222026
384,22,0.02998511
10,33,0.002243278
15,33,0.00232329
22,33,0.002324363
33,33,0.002610057
50,33,0.002733605
75,33,0.003400192
113,33,0.005250537
170,33,0.01668903
256,33,0.01912156
384,33,0.02036334
10,50,0.002321861
15,50,0.002464654
22,50,0.002475583
33,50,0.002983082
50,50,0.003268576
75,50,0.004977231
113,50,0.01054874
170,50,0.02425515
256,50,0.01620361
384,50,0.02284996
10,75,0.002551103
15,75,0.002670167
22,75,0.003038902
33,75,0.003732695
50,75,0.005174909
75,75,0.01066857
113,75,0.02307562
170,75,0.0119024
256,75,0.01465576
384,75,0.0171385
10,113,0.002854397
15,113,0.003477634
22,113,0.004072427
33,113,0.007368445
50,113,0.01788276
75,113,0.02457232
113,113,0.01841333
170,113,0.01227156
256,113,0.01411905
384,113,0.01986082
10,170,0.004680312
15,170,0.00635581
22,170,0.01038866
33,170,0.0214842
50,170,0.02646675
75,170,0.01990956
113,170,0.01495129
170,170,0.01332958
256,170,0.01877746
384,170,0.02008574
10,256,0.01064331
15,256,0.02050214
22,256,0.02450623
33,256,0.02142949
50,256,0.01918247
75,256,0.01856969
113,256,0.01126281
170,256,0.01219694
256,256,0.01101185
384,256,0.01267236
10,384,0.02569198
15,384,0.02375981
22,384,0.02323135
33,384,0.0291305
50,384,0.02127944
75,384,0.02109939
113,384,0.01857826
170,384,0.01227963
256,384,0.01908824
384,384,0.0205309
