Layers,Controllers
20,4,0.002510425
27,4,0.002425803
39,4,0.002640632
54,4,0.002841072
76,4,0.002841279
107,4,0.002996647
150,4,0.002944838
210,4,0.003270507
295,4,0.003501264
413,4,0.004180516
578,4,0.005217291
809,4,0.006882375
20,5,0.002566822
27,5,0.002490871
39,5,0.002672681
54,5,0.002618403
76,5,0.002636621
107,5,0.002792117
150,5,0.002939326
210,5,0.003807662
295,5,0.003761594
413,5,0.004517152
578,5,0.005433083
809,5,0.007214732
20,6,0.002612428
27,6,0.002527144
39,6,0.00266199
54,6,0.002618175
76,6,0.002672647
107,6,0.002839829
150,6,0.002975067
210,6,0.003389703
295,6,0.003758312
413,6,0.004473011
578,6,0.005759659
809,6,0.007523354
20,7,0.002648046
27,7,0.002539995
39,7,0.002628579
54,7,0.002648629
76,7,0.002679551
107,7,0.002900347
150,7,0.003038793
210,7,0.003449207
295,7,0.003858862
413,7,0.004636887
578,7,0.006039499
809,7,0.008177087
20,9,0.002689102
27,9,0.002598518
39,9,0.002656747
54,9,0.002725131
76,9,0.002777417
107,9,0.003084006
150,9,0.003223924
210,9,0.003637474
295,9,0.004265841
413,9,0.005393047
578,9,0.007202609
809,9,0.01000421
20,12,0.002664627
27,12,0.00263769
39,12,0.002649368
54,12,0.00283041
76,12,0.002931032
107,12,0.00317069
150,12,0.00336875
210,12,0.003789495
295,12,0.004624204
413,12,0.005757759
578,12,0.007776497
809,12,0.0106333
20,15,0.002710598
27,15,0.002701083
39,15,0.002749984
54,15,0.002964035
76,15,0.002998762
107,15,0.003272402
150,15,0.003581716
210,15,0.00404152
295,15,0.005075028
413,15,0.00627536
578,15,0.009070905
809,15,0.01168734
20,19,0.002627221
27,19,0.002770285
39,19,0.002841705
54,19,0.003052754
76,19,0.003180956
107,19,0.003500435
150,19,0.004073926
210,19,0.004803765
295,19,0.006265899
413,19,0.008433899
578,19,0.0118955
809,19,0.01694492
20,23,0.002746454
27,23,0.002887938
39,23,0.002921565
54,23,0.003024808
76,23,0.00336872
107,23,0.003671198
150,23,0.004339291
210,23,0.005185822
295,23,0.006654538
413,23,0.009068949
578,23,0.01273465
809,23,0.01829527
20,29,0.002852863
27,29,0.002904034
39,29,0.003120894
54,29,0.00320646
76,29,0.003559905
107,29,0.004019543
150,29,0.004555963
210,29,0.005845803
295,29,0.007512069
413,29,0.0102955
578,29,0.01406275
809,29,0.02024947
20,37,0.003033963
27,37,0.003002647
39,37,0.003201211
54,37,0.003429332
76,37,0.003883488
107,37,0.004543095
150,37,0.005389605
210,37,0.00680164
295,37,0.009268348
413,37,0.0128646
578,37,0.01837193
809,37,0.0257404
20,46,0.003032796
27,46,0.003289099
39,46,0.003410607
54,46,0.0037641
76,46,0.004254325
107,46,0.005022038
150,46,0.006119445
210,46,0.007739608
295,46,0.01057792
413,46,0.01447586
578,46,0.02021851
809,46,0.02883905
