Layers,Controllers
20,4,0.002190749
27,4,0.002345175
39,4,0.002263777
54,4,0.002240305
76,4,0.002341624
107,4,0.002342013
150,4,0.002645587
210,4,0.002655767
295,4,0.003082334
413,4,0.004024752
578,4,0.004155031
809,4,0.00585799
20,5,0.002237869
27,5,0.002316779
39,5,0.002269983
54,5,0.002259059
76,5,0.002405259
107,5,0.002392619
150,5,0.002689895
210,5,0.002777242
295,5,0.002973775
413,5,0.003722454
578,5,0.005008474
809,5,0.006210003
20,6,0.002213357
27,6,0.002319196
39,6,0.002311495
54,6,0.002255458
76,6,0.002452109
107,6,0.002474624
150,6,0.002680073
210,6,0.002754941
295,6,0.003005498
413,6,0.003723965
578,6,0.004554753
809,6,0.006402408
20,7,0.00226671
27,7,0.002329236
39,7,0.00246786
54,7,0.002336468
76,7,0.002497981
107,7,0.002503059
150,7,0.002647199
210,7,0.002823515
295,7,0.003181864
413,7,0.003908864
578,7,0.004816357
809,7,0.006730328
20,9,0.002328035
27,9,0.002292654
39,9,0.002401605
54,9,0.00239699
76,9,0.002578904
107,9,0.0026472
150,9,0.002730412
210,9,0.003063821
295,9,0.003517373
413,9,0.004483865
578,9,0.005870217
809,9,0.008223462
20,12,0.002402615
27,12,0.002329525
39,12,0.002500744
54,12,0.002472291
76,12,0.002589311
107,12,0.002689551
150,12,0.002859563
210,12,0.003270339
295,12,0.003782879
413,12,0.004852418
578,12,0.006306469
809,12,0.009008312
20,15,0.002442619
27,15,0.00241393
39,15,0.002542984
54,15,0.002532375
76,15,0.002608417
107,15,0.00285151
150,15,0.003027137
210,15,0.003514469
295,15,0.004108407
413,15,0.005181926
578,15,0.007480659
809,15,0.009937607
20,19,0.00252054
27,19,0.002464992
39,19,0.002558799
54,19,0.002607604
76,19,0.0027403
107,19,0.00314423
150,19,0.003472278
210,19,0.004086308
295,19,0.005246462
413,19,0.006909173
578,19,0.009941854
809,19,0.01438439
20,23,0.002458845
27,23,0.002540452
39,23,0.002604306
54,23,0.002890466
76,23,0.002926152
107,23,0.003867282
150,23,0.004097161
210,23,0.004663292
295,23,0.006203299
413,23,0.00812147
578,23,0.01089102
809,23,0.01603674
20,29,0.002718072
27,29,0.002753638
39,29,0.002867961
54,29,0.002968442
76,29,0.003273568
107,29,0.00352499
150,29,0.004104809
210,29,0.004691815
295,29,0.006236407
413,29,0.008504601
578,29,0.01201929
809,29,0.01834307
20,37,0.002780365
27,37,0.002724488
39,37,0.002998547
54,37,0.003238078
76,37,0.003620145
107,37,0.00411875
150,37,0.004828964
210,37,0.006369128
295,37,0.008422325
413,37,0.01148637
578,37,0.01530194
809,37,0.02270029
20,46,0.00272337
27,46,0.002881168
39,46,0.003005764
54,46,0.003330871
76,46,0.003625561
107,46,0.00425423
150,46,0.005243558
210,46,0.006463971
295,46,0.009202025
413,46,0.01244272
578,46,0.01790776
809,46,0.02619136
