Layer,Controllers
20,4,0.01367594
27,4,0.01295743
39,4,0.01283799
54,4,0.01320263
76,4,0.01404756
107,4,0.01430589
150,4,0.01486924
210,4,0.01363309
295,4,0.0143038
413,4,0.01516913
578,4,0.017242
809,4,0.0237876
20,5,0.01410466
27,5,0.01380257
39,5,0.01428328
54,5,0.01410161
76,5,0.01400386
107,5,0.01561049
150,5,0.01497729
210,5,0.0141584
295,5,0.01535771
413,5,0.01617088
578,5,0.01809628
809,5,0.02627
20,6,0.01473527
27,6,0.01461954
39,6,0.01543825
54,6,0.01539395
76,6,0.01553161
107,6,0.01562408
150,6,0.01565975
210,6,0.0164322
295,6,0.01696341
413,6,0.01808952
578,6,0.0207121
809,6,0.02948469
20,7,0.01535383
27,7,0.01563298
39,7,0.01590719
54,7,0.01562175
76,7,0.01607349
107,7,0.01627528
150,7,0.0164397
210,7,0.01695477
295,7,0.01748473
413,7,0.01893602
578,7,0.02222745
809,7,0.03135798
20,9,0.01597126
27,9,0.01634963
39,9,0.01691624
54,9,0.01638379
76,9,0.01668891
107,9,0.0175618
150,9,0.01754598
210,9,0.01867472
295,9,0.01962994
413,9,0.0208583
578,9,0.02442073
809,9,0.03499579
20,12,0.0178693
27,12,0.01781576
39,12,0.01882961
54,12,0.01841619
76,12,0.01837039
107,12,0.01992171
150,12,0.02009553
210,12,0.02024315
295,12,0.02267007
413,12,0.02487945
578,12,0.03023121
809,12,0.04186789
20,15,0.01842883
27,15,0.01950961
39,15,0.01940822
54,15,0.01937743
76,15,0.02028797
107,15,0.0208052
150,15,0.0223916
210,15,0.02399659
295,15,0.0250235
413,15,0.02977585
578,15,0.03627929
809,15,0.05153817
20,19,0.01729985
27,19,0.01732234
39,19,0.01772387
54,19,0.01784549
76,19,0.019344
107,19,0.01950344
150,19,0.0203561
210,19,0.02244649
295,19,0.02472954
413,19,0.02873696
578,19,0.0367809
809,19,0.05645955
20,23,0.01894397
27,23,0.01941693
39,23,0.01949311
54,23,0.01974051
76,23,0.02003641
107,23,0.02075494
150,23,0.02217527
210,23,0.02499891
295,23,0.02716041
413,23,0.03376507
578,23,0.04312141
809,23,0.0617845
20,29,0.0194729
27,29,0.02024092
39,29,0.02042055
54,29,0.02147229
76,29,0.02234236
107,29,0.02351008
150,29,0.02509651
210,29,0.02856849
295,29,0.03299261
413,29,0.04286943
578,29,0.05285908
809,29,0.07678979
20,37,0.0202723
27,37,0.02089749
39,37,0.02207793
54,37,0.02197888
76,37,0.0231013
107,37,0.02416865
150,37,0.02682614
210,37,0.0302671
295,37,0.0355741
413,37,0.04561822
578,37,0.06038146
809,37,0.08870012
20,46,0.02198154
27,46,0.02227264
39,46,0.02428245
54,46,0.02483679
76,46,0.02566137
107,46,0.02727084
150,46,0.03063192
210,46,0.03465996
295,46,0.04209021
413,46,0.05228578
578,46,0.07468691
809,46,0.1070187
