Layers,Controllers
20,4,0.01343124
27,4,0.01357149
39,4,0.01330817
54,4,0.01256021
76,4,0.01264142
107,4,0.01237137
150,4,0.01261151
210,4,0.01243733
295,4,0.01265402
413,4,0.01288296
578,4,0.01524142
809,4,0.02095052
20,5,0.01315016
27,5,0.01331204
39,5,0.01310606
54,5,0.01319302
76,5,0.01347925
107,5,0.01336101
150,5,0.01356957
210,5,0.01399264
295,5,0.01361168
413,5,0.01403993
578,5,0.01635572
809,5,0.02315933
20,6,0.01394996
27,6,0.01390441
39,6,0.01405651
54,6,0.01480023
76,6,0.01411631
107,6,0.01433233
150,6,0.01459634
210,6,0.01473096
295,6,0.0151544
413,6,0.01592527
578,6,0.0180639
809,6,0.02536972
20,7,0.01475943
27,7,0.01480995
39,7,0.01468851
54,7,0.01514399
76,7,0.01518578
107,7,0.01522088
150,7,0.0155586
210,7,0.01573443
295,7,0.01584252
413,7,0.01691239
578,7,0.01999055
809,7,0.02837303
20,9,0.01588046
27,9,0.01551014
39,9,0.01610643
54,9,0.01588386
76,9,0.01594643
107,9,0.0165446
150,9,0.01648007
210,9,0.01688884
295,9,0.01832368
413,9,0.0189026
578,9,0.02219116
809,9,0.03168027
20,12,0.01694831
27,12,0.01692034
39,12,0.01707911
54,12,0.01735277
76,12,0.01776276
107,12,0.01794364
150,12,0.01859019
210,12,0.01914312
295,12,0.02000592
413,12,0.02197718
578,12,0.0266263
809,12,0.03684744
20,15,0.01757254
27,15,0.01728912
39,15,0.0179975
54,15,0.01798256
76,15,0.01856924
107,15,0.01923552
150,15,0.01992508
210,15,0.0205264
295,15,0.02344674
413,15,0.02585107
578,15,0.03456969
809,15,0.04933185
20,19,0.01808046
27,19,0.01818669
39,19,0.01818676
54,19,0.01755512
76,19,0.01775017
107,19,0.01824185
150,19,0.02003161
210,19,0.02189642
295,19,0.02516281
413,19,0.03038094
578,19,0.03742981
809,19,0.05603479
20,23,0.01905804
27,23,0.01942307
39,23,0.01800611
54,23,0.01860373
76,23,0.019922
107,23,0.02264697
150,23,0.02449615
210,23,0.02415773
295,23,0.02750178
413,23,0.03339513
578,23,0.04053416
809,23,0.05985248
20,29,0.02051345
27,29,0.01989109
39,29,0.02018613
54,29,0.02057616
76,29,0.02166334
107,29,0.02292126
150,29,0.02536831
210,29,0.02753491
295,29,0.03192086
413,29,0.03822786
578,29,0.04902827
809,29,0.0702932
20,37,0.0206658
27,37,0.02051853
39,37,0.02201837
54,37,0.02185226
76,37,0.02241318
107,37,0.02394256
150,37,0.02679991
210,37,0.02981266
295,37,0.03452314
413,37,0.04317217
578,37,0.05828701
809,37,0.08482672
20,46,0.02179185
27,46,0.0228726
39,46,0.02237817
54,46,0.02354934
76,46,0.02553103
107,46,0.02694393
150,46,0.03082844
210,46,0.03536578
295,46,0.04263113
413,46,0.05339804
578,46,0.07021469
809,46,0.1013924
