Layers,States
20,20,0.001988791
29,20,0.001947362
42,20,0.00239238
60,20,0.002100425
88,20,0.002418576
128,20,0.002709494
185,20,0.003405052
20,29,0.001941646
29,29,0.002066913
42,29,0.001994899
60,29,0.00222073
88,29,0.002334039
128,29,0.00280533
185,29,0.002919485
20,42,0.001872412
29,42,0.001812215
42,42,0.001960911
60,42,0.002093218
88,42,0.002104677
128,42,0.002549225
185,42,0.002896446
20,60,0.001797166
29,60,0.001898419
42,60,0.001854423
60,60,0.002047778
88,60,0.002065161
128,60,0.002336859
185,60,0.002897294
20,88,0.00177772
29,88,0.001804753
42,88,0.001873408
60,88,0.002024676
88,88,0.002127284
128,88,0.002613451
185,88,0.002864912
20,128,0.001752461
29,128,0.001838701
42,128,0.002059706
60,128,0.002165538
88,128,0.00211786
128,128,0.002478698
185,128,0.002833392
20,185,0.001777204
29,185,0.001820346
42,185,0.001940565
60,185,0.002235517
88,185,0.002307065
128,185,0.00242834
185,185,0.003007143
