Layers,States
20,20,0.002279094
29,20,0.002307394
42,20,0.002445514
60,20,0.002628069
88,20,0.002957118
128,20,0.003345298
185,20,0.00400121
20,29,0.0022664
29,29,0.002318563
42,29,0.002452559
60,29,0.00266541
88,29,0.002963872
128,29,0.003433366
185,29,0.003997261
20,42,0.002241393
29,42,0.00230777
42,42,0.002452955
60,42,0.002654768
88,42,0.00296154
128,42,0.003369596
185,42,0.004026774
20,60,0.002354185
29,60,0.002393908
42,60,0.002466249
60,60,0.002575232
88,60,0.00283639
128,60,0.003168009
185,60,0.003783724
20,88,0.002276292
29,88,0.002345218
42,88,0.002466053
60,88,0.00264716
88,88,0.002869411
128,88,0.003180181
185,88,0.003778497
20,128,0.002279497
29,128,0.002352176
42,128,0.002418673
60,128,0.002544217
88,128,0.002867476
128,128,0.003314292
185,128,0.003808404
20,185,0.00224356
29,185,0.002306803
42,185,0.002513817
60,185,0.002743768
88,185,0.002803429
128,185,0.003298885
185,185,0.003765191
