Layer,Controllers
20,4,0.002648652
27,4,0.002822412
39,4,0.002897657
54,4,0.003149251
76,4,0.003402377
107,4,0.003843745
150,4,0.004714379
210,4,0.005635768
295,4,0.00731713
413,4,0.01018761
578,4,0.01371515
809,4,0.01917792
20,5,0.002705446
27,5,0.002923073
39,5,0.003000058
54,5,0.003173366
76,5,0.003492146
107,5,0.004069635
150,5,0.004983142
210,5,0.005945276
295,5,0.007832438
413,5,0.01070459
578,5,0.01473438
809,5,0.02086514
20,6,0.00273131
27,6,0.002952572
39,6,0.003021798
54,6,0.003229567
76,6,0.003675998
107,6,0.004254274
150,6,0.005281938
210,6,0.006425858
295,6,0.00852147
413,6,0.01155144
578,6,0.0161614
809,6,0.02319034
20,7,0.002763074
27,7,0.002960226
39,7,0.003086647
54,7,0.003385461
76,7,0.003863706
107,7,0.004613701
150,7,0.005518728
210,7,0.006799066
295,7,0.009084861
413,7,0.01276628
578,7,0.01755843
809,7,0.02590899
20,9,0.002856805
27,9,0.003018819
39,9,0.003271122
54,9,0.00351118
76,9,0.004155488
107,9,0.004933546
150,9,0.006204877
210,9,0.007824968
295,9,0.01056777
413,9,0.01521898
578,9,0.02064389
809,9,0.03097072
20,12,0.002972607
27,12,0.003151631
39,12,0.003404512
54,12,0.003749022
76,12,0.004674817
107,12,0.005633513
150,12,0.007190138
210,12,0.009370524
295,12,0.0143206
413,12,0.01832554
578,12,0.0247742
809,12,0.0356535
20,15,0.003080626
27,15,0.003290299
39,15,0.003569692
54,15,0.003912214
76,15,0.004766678
107,15,0.005831645
150,15,0.007658994
210,15,0.01013704
295,15,0.01404686
413,15,0.01983015
578,15,0.0291345
809,15,0.04161043
20,19,0.003267329
27,19,0.003330562
39,19,0.003666708
54,19,0.004105295
76,19,0.005106337
107,19,0.006511465
150,19,0.008574281
210,19,0.01151973
295,19,0.01590565
413,19,0.02274798
578,19,0.03273314
809,19,0.04939064
20,23,0.003472252
27,23,0.003380399
39,23,0.003951555
54,23,0.005251518
76,23,0.005797136
107,23,0.007212806
150,23,0.009550201
210,23,0.01304762
295,23,0.01816911
413,23,0.02613287
578,23,0.03692831
809,23,0.05533649
20,29,0.003330596
27,29,0.00358416
39,29,0.00501095
54,29,0.004939514
76,29,0.006422953
107,29,0.008132058
150,29,0.0109237
210,29,0.0153211
295,29,0.02108494
413,29,0.03066241
578,29,0.04257274
809,29,0.06352226
20,37,0.003962119
27,37,0.004261763
39,37,0.005562083
54,37,0.006416206
76,37,0.007906141
107,37,0.01062893
150,37,0.01377766
210,37,0.01802683
295,37,0.02520601
413,37,0.03694624
578,37,0.05176504
809,37,0.08429773
20,46,0.003907931
27,46,0.004320907
39,46,0.005451075
54,46,0.006496027
76,46,0.008485769
107,46,0.0113695
150,46,0.0153674
210,46,0.02120809
295,46,0.02955051
413,46,0.04276283
578,46,0.06362566
809,46,0.08963867
