Layers,Controllers
20,4,0.002652636
27,4,0.002615039
39,4,0.002910621
54,4,0.003075014
76,4,0.003554676
107,4,0.003987996
150,4,0.004720568
210,4,0.006534799
295,4,0.007605309
413,4,0.01053085
578,4,0.01523096
809,4,0.02048923
20,5,0.002713097
27,5,0.00274414
39,5,0.002898064
54,5,0.003075352
76,5,0.003455985
107,5,0.004520194
150,5,0.005732404
210,5,0.006788448
295,5,0.008459421
413,5,0.01140813
578,5,0.0160119
809,5,0.02255924
20,6,0.002805211
27,6,0.002901885
39,6,0.002977976
54,6,0.003263044
76,6,0.003712768
107,6,0.004553705
150,6,0.005360286
210,6,0.007151235
295,6,0.008810172
413,6,0.01253483
578,6,0.01701809
809,6,0.02434659
20,7,0.002762529
27,7,0.002819859
39,7,0.003065097
54,7,0.003469738
76,7,0.00391028
107,7,0.004556242
150,7,0.005625767
210,7,0.007391181
295,7,0.009980815
413,7,0.01332569
578,7,0.01932163
809,7,0.02792065
20,9,0.002815829
27,9,0.002941135
39,9,0.003331658
54,9,0.003797457
76,9,0.004421262
107,9,0.005193206
150,9,0.006602135
210,9,0.009233619
295,9,0.01153564
413,9,0.01575013
578,9,0.02208306
809,9,0.03168046
20,12,0.002950099
27,12,0.003201489
39,12,0.003573426
54,12,0.00417011
76,12,0.004811238
107,12,0.00576148
150,12,0.007590475
210,12,0.009947021
295,12,0.01366064
413,12,0.01839897
578,12,0.0256679
809,12,0.03741734
20,15,0.003147159
27,15,0.003563422
39,15,0.003931313
54,15,0.004376789
76,15,0.005388418
107,15,0.006641842
150,15,0.008912894
210,15,0.01150768
295,15,0.01554244
413,15,0.02132688
578,15,0.03061167
809,15,0.04416826
20,19,0.003150868
27,19,0.003623099
39,19,0.004060246
54,19,0.004706849
76,19,0.005428363
107,19,0.006860208
150,19,0.009672004
210,19,0.01264541
295,19,0.01847659
413,19,0.02454311
578,19,0.0347381
809,19,0.05373083
20,23,0.003180929
27,23,0.003580117
39,23,0.004354947
54,23,0.004948622
76,23,0.005900338
107,23,0.007985921
150,23,0.01068077
210,23,0.01416685
295,23,0.01945153
413,23,0.02738276
578,23,0.03965504
809,23,0.05770615
20,29,0.003503963
27,29,0.004781283
39,29,0.004432142
54,29,0.005786057
76,29,0.006902695
107,29,0.009453751
150,29,0.0121168
210,29,0.016126
295,29,0.02293839
413,29,0.03186397
578,29,0.04562497
809,29,0.06894153
20,37,0.003786073
27,37,0.004243421
39,37,0.004992521
54,37,0.006553994
76,37,0.008171806
107,37,0.01087395
150,37,0.01420976
210,37,0.01926338
295,37,0.02727851
413,37,0.03813401
578,37,0.0553833
809,37,0.0819421
20,46,0.004037746
27,46,0.004640046
39,46,0.006135472
54,46,0.007584693
76,46,0.009644398
107,46,0.01262786
150,46,0.01681215
210,46,0.02279844
295,46,0.03193422
413,46,0.04573965
578,46,0.06556279
809,46,0.09701517
