Parent Constraints,Target Count
20,20,0.002030339
25,20,0.002196985
31,20,0.002252697
39,20,0.002116481
48,20,0.002049649
61,20,0.002186544
76,20,0.002247355
95,20,0.002298891
119,20,0.00260903
149,20,0.002766158
186,20,0.002978915
232,20,0.003434568
291,20,0.003487624
363,20,0.004312975
454,20,0.005249072
568,20,0.005353541
710,20,0.007445943
888,20,0.008966568
1110,20,0.01014572
1387,20,0.01630362
20,25,0.001962548
25,25,0.00188465
31,25,0.001993352
39,25,0.001970809
48,25,0.002034023
61,25,0.002075379
76,25,0.002181175
95,25,0.002321233
119,25,0.002803265
149,25,0.002791703
186,25,0.003131781
232,25,0.00336926
291,25,0.003936991
363,25,0.004460407
454,25,0.004868413
568,25,0.006047646
710,25,0.008002148
888,25,0.009252838
1110,25,0.01132617
1387,25,0.01660593
20,31,0.001908798
25,31,0.001940995
31,31,0.001896147
39,31,0.001982311
48,31,0.002125902
61,31,0.002088768
76,31,0.002165751
95,31,0.002638614
119,31,0.002692419
149,31,0.002948372
186,31,0.003183732
232,31,0.003379791
291,31,0.003616026
363,31,0.004281459
454,31,0.005026128
568,31,0.005701325
710,31,0.008242359
888,31,0.009328544
1110,31,0.01120635
1387,31,0.01654601
20,39,0.001964535
25,39,0.001963313
31,39,0.001953635
39,39,0.002012075
48,39,0.002095685
61,39,0.002303764
76,39,0.002504932
95,39,0.002679931
119,39,0.003026191
149,39,0.003100804
186,39,0.003280888
232,39,0.003674075
291,39,0.003798574
363,39,0.004905364
454,39,0.005526853
568,39,0.00694974
710,39,0.008601622
888,39,0.01112592
1110,39,0.01292823
1387,39,0.0177714
20,48,0.001982132
25,48,0.001952484
31,48,0.001918313
39,48,0.002057686
48,48,0.002150918
61,48,0.002338089
76,48,0.00277835
95,48,0.002736265
119,48,0.002902946
149,48,0.00304516
186,48,0.003443779
232,48,0.003522571
291,48,0.0039423
363,48,0.004979101
454,48,0.005920202
568,48,0.007130132
710,48,0.00945096
888,48,0.01082576
1110,48,0.01309975
1387,48,0.01900998
20,61,0.001894132
25,61,0.001904425
31,61,0.001965729
39,61,0.002016516
48,61,0.00218664
61,61,0.002648058
76,61,0.002744685
95,61,0.00292606
119,61,0.003079756
149,61,0.003088528
186,61,0.003648952
232,61,0.004113949
291,61,0.004321483
363,61,0.005502709
454,61,0.006634173
568,61,0.007320919
710,61,0.01023432
888,61,0.01193067
1110,61,0.01353584
1387,61,0.02012959
20,76,0.00195474
25,76,0.001893773
31,76,0.001998945
39,76,0.002137489
48,76,0.002502371
61,76,0.002746765
76,76,0.002928739
95,76,0.002905945
119,76,0.00325559
149,76,0.003369641
186,76,0.003584259
232,76,0.003983359
291,76,0.004672276
363,76,0.005798385
454,76,0.006961819
568,76,0.00857568
710,76,0.01050744
888,76,0.01351964
1110,76,0.01537536
1387,76,0.02018453
20,95,0.001955005
25,95,0.002125627
31,95,0.00200546
39,95,0.002177893
48,95,0.002660439
61,95,0.002708619
76,95,0.00295326
95,95,0.003203133
119,95,0.003185178
149,95,0.003329416
186,95,0.003843183
232,95,0.004183367
291,95,0.005168319
363,95,0.006387444
454,95,0.007244684
568,95,0.00915402
710,95,0.01135652
888,95,0.01393501
1110,95,0.01622243
1387,95,0.02209437
20,119,0.001978785
25,119,0.001960682
31,119,0.002096545
39,119,0.002670386
48,119,0.002638214
61,119,0.003074732
76,119,0.00292733
95,119,0.003134803
119,119,0.003264494
149,119,0.00342085
186,119,0.004042078
232,119,0.004690599
291,119,0.00515652
363,119,0.006869733
454,119,0.008136484
568,119,0.009848919
710,119,0.01248482
888,119,0.01505549
1110,119,0.01828638
1387,119,0.02385218
20,149,0.002057231
25,149,0.002072357
31,149,0.002244405
39,149,0.002718069
48,149,0.002729077
61,149,0.00301667
76,149,0.003181915
95,149,0.003426565
119,149,0.003397152
149,149,0.003814893
186,149,0.004362741
232,149,0.005106177
291,149,0.005891408
363,149,0.007477691
454,149,0.009093827
568,149,0.01103512
710,149,0.01378217
888,149,0.01728107
1110,149,0.02005803
1387,149,0.02621539
20,186,0.00205255
25,186,0.002113256
31,186,0.002460928
39,186,0.002744221
48,186,0.002869149
61,186,0.003009614
76,186,0.00337627
95,186,0.003399491
119,186,0.003591615
149,186,0.004137322
186,186,0.004745334
232,186,0.005408856
291,186,0.006650709
363,186,0.008451395
454,186,0.01004034
568,186,0.01220137
710,186,0.01541599
888,186,0.01826342
1110,186,0.02167272
1387,186,0.02944227
20,232,0.002120067
25,232,0.002413877
31,232,0.002699599
39,232,0.002996803
48,232,0.003230262
61,232,0.00386877
76,232,0.003928773
95,232,0.004133315
119,232,0.004320239
149,232,0.004778541
186,232,0.005240044
232,232,0.006229749
291,232,0.007867767
363,232,0.01012904
454,232,0.01285709
568,232,0.01468637
710,232,0.01821905
888,232,0.02236192
1110,232,0.02505526
1387,232,0.03441214
20,291,0.002656844
25,291,0.002735065
31,291,0.003039158
39,291,0.003689301
48,291,0.003454088
61,291,0.003771383
76,291,0.003694702
95,291,0.004165528
119,291,0.004513504
149,291,0.00551177
186,291,0.006230763
232,291,0.007201241
291,291,0.009178844
363,291,0.01080917
454,291,0.01310621
568,291,0.01758228
710,291,0.02028353
888,291,0.02396833
1110,291,0.02951164
1387,291,0.03872618
20,363,0.00243571
25,363,0.002938924
31,363,0.00297424
39,363,0.003189413
48,363,0.003592022
61,363,0.003874551
76,363,0.003851998
95,363,0.004501821
119,363,0.005425991
149,363,0.005988725
186,363,0.007048262
232,363,0.008316591
291,363,0.01024014
363,363,0.01348574
454,363,0.01511416
568,363,0.0179198
710,363,0.02289812
888,363,0.02762808
1110,363,0.03252216
1387,363,0.04288419
20,454,0.002738056
25,454,0.002855825
31,454,0.003020865
39,454,0.003401733
48,454,0.003730619
61,454,0.004062126
76,454,0.0043796
95,454,0.005082481
119,454,0.005777031
149,454,0.006894736
186,454,0.007912241
232,454,0.01000247
291,454,0.01172489
363,454,0.01425991
454,454,0.01812612
568,454,0.02100758
710,454,0.02552287
888,454,0.03147689
1110,454,0.03884191
1387,454,0.04922196
20,568,0.002810738
25,568,0.003147109
31,568,0.003309702
39,568,0.003805689
48,568,0.004196654
61,568,0.004527992
76,568,0.004925251
95,568,0.00636017
119,568,0.006637518
149,568,0.008523625
186,568,0.009750659
232,568,0.01123799
291,568,0.01508633
363,568,0.01681582
454,568,0.02206045
568,568,0.02425983
710,568,0.02987353
888,568,0.03747283
1110,568,0.04411289
1387,568,0.0593173
20,710,0.003018641
25,710,0.003290588
31,710,0.004220183
39,710,0.004178688
48,710,0.004352112
61,710,0.004917096
76,710,0.005692343
95,710,0.007097018
119,710,0.007556343
149,710,0.009130825
186,710,0.01193214
232,710,0.01304194
291,710,0.01594351
363,710,0.02012275
454,710,0.02299969
568,710,0.02780114
710,710,0.0356995
888,710,0.04296759
1110,710,0.05406032
1387,710,0.07519027
20,888,0.003350697
25,888,0.003458062
31,888,0.003872996
39,888,0.004449829
48,888,0.004535959
61,888,0.005228099
76,888,0.006488381
95,888,0.007550047
119,888,0.008435443
149,888,0.009947879
186,888,0.01183743
232,888,0.01429755
291,888,0.01911447
363,888,0.02251734
454,888,0.02649529
568,888,0.0334764
710,888,0.04105536
888,888,0.05409592
1110,888,0.06473921
1387,888,0.08326527
20,1110,0.003376215
25,1110,0.003777481
31,1110,0.004449013
39,1110,0.004841206
48,1110,0.006510178
61,1110,0.006971005
76,1110,0.007644221
95,1110,0.008555561
119,1110,0.009878282
149,1110,0.01169008
186,1110,0.01472603
232,1110,0.0224377
291,1110,0.02346431
363,1110,0.02665047
454,1110,0.03284914
568,1110,0.04062709
710,1110,0.05059145
888,1110,0.06592065
1110,1110,0.08056324
1387,1110,0.09545317
20,1387,0.003974916
25,1387,0.005043647
31,1387,0.004932408
39,1387,0.005587166
48,1387,0.006235589
61,1387,0.007295917
76,1387,0.00908925
95,1387,0.01070994
119,1387,0.01145521
149,1387,0.01368531
186,1387,0.01927692
232,1387,0.02125843
291,1387,0.02702451
363,1387,0.03240544
454,1387,0.03817479
568,1387,0.04938979
710,1387,0.06039914
888,1387,0.07637314
1110,1387,0.08725567
1387,1387,0.1141035
