PhysboneTransforms,PhysboneDepth
100,2,0.002982239
120,2,0.0031845
144,2,0.005638145
172,2,0.004302533
207,2,0.007296669
248,2,0.007016208
298,2,0.01437754
100,2,0.002819872
120,2,0.002723606
144,2,0.004608564
172,2,0.004611348
207,2,0.007454792
248,2,0.006740863
298,2,0.01231952
100,2,0.00285471
120,2,0.003181726
144,2,0.004097125
172,2,0.00385857
207,2,0.006401039
248,2,0.006770512
298,2,0.01308574
100,3,0.002955456
120,3,0.002705164
144,3,0.003737397
172,3,0.003672347
207,3,0.00508165
248,3,0.005055739
298,3,0.009241196
100,4,0.002754981
120,4,0.002642315
144,4,0.003204611
172,4,0.003609427
207,4,0.004417136
248,4,0.004339753
298,4,0.007390272
100,4,0.002881434
120,4,0.002697957
144,4,0.003994588
172,4,0.003744719
207,4,0.004565481
248,4,0.00454815
298,4,0.006844201
100,5,0.002401775
120,5,0.002626377
144,5,0.003035041
172,5,0.002966001
207,5,0.003902429
248,5,0.003828431
298,5,0.00497837
