Layer,Controllers
20,4,0.00227261
27,4,0.002302858
39,4,0.002275552
54,4,0.002290618
76,4,0.002285817
107,4,0.002137822
150,4,0.002221745
210,4,0.002186234
295,4,0.002222787
413,4,0.002212946
578,4,0.002273239
809,4,0.002279368
20,5,0.00218167
27,5,0.002145115
39,5,0.002148595
54,5,0.002122314
76,5,0.002139695
107,5,0.002187021
150,5,0.002382083
210,5,0.002299182
295,5,0.002375426
413,5,0.002399459
578,5,0.002465676
809,5,0.002267313
20,6,0.002241962
27,6,0.002226085
39,6,0.00221302
54,6,0.002193742
76,6,0.002178344
107,6,0.002168377
150,6,0.002216347
210,6,0.002144767
295,6,0.002159967
413,6,0.00223259
578,6,0.002321818
809,6,0.002227331
20,7,0.002193678
27,7,0.002318816
39,7,0.00236059
54,7,0.002338314
76,7,0.002309439
107,7,0.002350949
150,7,0.002215961
210,7,0.002260093
295,7,0.002227082
413,7,0.002283228
578,7,0.002328793
809,7,0.002297671
20,9,0.002256034
27,9,0.002245507
39,9,0.002238559
54,9,0.002272219
76,9,0.002229731
107,9,0.002253173
150,9,0.002234973
210,9,0.002213171
295,9,0.002346255
413,9,0.002369649
578,9,0.002488654
809,9,0.002428198
20,12,0.002370802
27,12,0.002280289
39,12,0.00228838
54,12,0.002290334
76,12,0.002338459
107,12,0.002275804
150,12,0.002331283
210,12,0.002278857
295,12,0.002299892
413,12,0.002388145
578,12,0.002325044
809,12,0.00233155
20,15,0.002246928
27,15,0.002281435
39,15,0.002264254
54,15,0.002357428
76,15,0.002426317
107,15,0.002400912
150,15,0.002417607
210,15,0.002407083
295,15,0.002335444
413,15,0.002365319
578,15,0.002362698
809,15,0.002364669
20,19,0.002284955
27,19,0.002317164
39,19,0.002320608
54,19,0.002312191
76,19,0.002332158
107,19,0.002312121
150,19,0.002392114
210,19,0.002289277
295,19,0.002317704
413,19,0.002307467
578,19,0.002421205
809,19,0.002563611
20,23,0.002527225
27,23,0.002479902
39,23,0.002477535
54,23,0.002409102
76,23,0.002328603
107,23,0.002365075
150,23,0.002367964
210,23,0.002385041
295,23,0.002335637
413,23,0.002394726
578,23,0.002371843
809,23,0.002393961
20,29,0.00238209
27,29,0.002323225
39,29,0.002322949
54,29,0.002382918
76,29,0.002371091
107,29,0.002379887
150,29,0.002499563
210,29,0.002551765
295,29,0.002567248
413,29,0.002664672
578,29,0.002585734
809,29,0.002478931
20,37,0.002601888
27,37,0.002381565
39,37,0.002461421
54,37,0.002420137
76,37,0.002443322
107,37,0.002403321
150,37,0.002480451
210,37,0.002464296
295,37,0.002419765
413,37,0.002467433
578,37,0.002495413
809,37,0.002467154
20,46,0.002459511
27,46,0.002605979
39,46,0.002638752
54,46,0.002704294
76,46,0.00261984
107,46,0.002646686
150,46,0.002513604
210,46,0.002497624
295,46,0.00250136
413,46,0.002557864
578,46,0.002577517
809,46,0.002578102
