Layers,Controllers
20,4,0.002358061
27,4,0.0023868
39,4,0.002827466
54,4,0.002710622
76,4,0.003035785
107,4,0.003339162
150,4,0.003942488
210,4,0.004978009
295,4,0.006123689
413,4,0.008312069
20,5,0.002362034
27,5,0.002427117
39,5,0.002666375
54,5,0.00279127
76,5,0.003246289
107,5,0.00353047
150,5,0.004175891
210,5,0.005038925
295,5,0.006682946
413,5,0.009149889
20,6,0.00240415
27,6,0.002557193
39,6,0.002646551
54,6,0.002824006
76,6,0.003269481
107,6,0.003707818
150,6,0.004558813
210,6,0.005447433
295,6,0.007139146
413,6,0.009832744
20,7,0.002429278
27,7,0.002696528
39,7,0.002735237
54,7,0.00297621
76,7,0.003316177
107,7,0.003804224
150,7,0.004879791
210,7,0.006083821
295,7,0.007862153
413,7,0.01074596
20,9,0.002497738
27,9,0.002723599
39,9,0.002893192
54,9,0.003238611
76,9,0.003622648
107,9,0.004287619
150,9,0.005305421
210,9,0.006887503
295,9,0.009473464
413,9,0.01281946
20,12,0.002592479
27,12,0.002769483
39,12,0.002968165
54,12,0.003443853
76,12,0.003909355
107,12,0.004783263
150,12,0.006040951
210,12,0.00792433
295,12,0.01106534
413,12,0.01506285
20,15,0.002761381
27,15,0.00284819
39,15,0.003078999
54,15,0.003563673
76,15,0.004114045
107,15,0.005256446
150,15,0.006582985
210,15,0.008759624
295,15,0.01227328
413,15,0.01746242
20,19,0.002842187
27,19,0.002885866
39,19,0.003181538
54,19,0.003654425
76,19,0.004377234
107,19,0.005765023
150,19,0.007241271
210,19,0.009838115
295,19,0.01397631
413,19,0.0196806
20,23,0.002861679
27,23,0.002971834
39,23,0.003373288
54,23,0.003877382
76,23,0.00475202
107,23,0.006359864
150,23,0.008336287
210,23,0.01125281
295,23,0.01587289
413,23,0.02276756
20,29,0.00305224
27,29,0.003161934
39,29,0.003638238
54,29,0.00420707
76,29,0.005341652
107,29,0.007100287
150,29,0.009490928
210,29,0.01323296
295,29,0.01856775
413,29,0.02626722
