Parent Constraints,Target Count
10,10,0.002118403
15,10,0.00210064
22,10,0.002174877
33,10,0.002212793
50,10,0.002194392
75,10,0.002216863
113,10,0.002311853
170,10,0.002416978
256,10,0.002607265
384,10,0.002748446
10,15,0.002091244
15,15,0.002111718
22,15,0.002142132
33,15,0.002229694
50,15,0.00216739
75,15,0.002206494
113,15,0.002275183
170,15,0.002435825
256,15,0.00258431
384,15,0.002794928
10,22,0.002116661
15,22,0.002107885
22,22,0.002156373
33,22,0.002193952
50,22,0.002276711
75,22,0.002223514
113,22,0.002294755
170,22,0.002414751
256,22,0.002568176
384,22,0.002711511
10,33,0.002162323
15,33,0.002133192
22,33,0.002193435
33,33,0.002153737
50,33,0.002188881
75,33,0.002291696
113,33,0.002321453
170,33,0.002389873
256,33,0.002527141
384,33,0.002716784
10,50,0.002136635
15,50,0.002175733
22,50,0.002101205
33,50,0.002122008
50,50,0.002197495
75,50,0.002288613
113,50,0.002312981
170,50,0.002358626
256,50,0.00251557
384,50,0.002799082
10,75,0.002134988
15,75,0.002106859
22,75,0.002124099
33,75,0.002159376
50,75,0.002365585
75,75,0.002242079
113,75,0.002256798
170,75,0.002380051
256,75,0.002589171
384,75,0.002789799
10,113,0.002106733
15,113,0.002087414
22,113,0.002110613
33,113,0.002235126
50,113,0.002270143
75,113,0.002220991
113,113,0.002266
170,113,0.002363913
256,113,0.002523396
384,113,0.002839567
10,170,0.002087831
15,170,0.002166533
22,170,0.002176019
33,170,0.002149206
50,170,0.002252808
75,170,0.002250092
113,170,0.0022621
170,170,0.002372562
256,170,0.002523019
384,170,0.002759458
10,256,0.002082309
15,256,0.002160483
22,256,0.002201074
33,256,0.002254252
50,256,0.002296218
75,256,0.002238587
113,256,0.002263051
170,256,0.002376002
256,256,0.002509295
384,256,0.002691072
10,384,0.002100566
15,384,0.00214371
22,384,0.002143448
33,384,0.002139102
50,384,0.002147269
75,384,0.002274354
113,384,0.002260925
170,384,0.002360681
256,384,0.002524218
384,384,0.002725269
